airport,city,country,lat,long
JNB,JOHANNESBURG,SOUTH AFRICA,-26.1392,28.246
CPT,CAPE TOWN,SOUTH AFRICA,-33.9648017883,18.6016998291
DUR,DURBAN,SOUTH AFRICA,-29.6144444444,31.119722222199997
HLA,LANSERIA,SOUTH AFRICA,-25.9384994507,27.926099777199997
ALG,ALGIERS,ALGERIA,36.691001892089844,3.215409994125366
ORN,ORAN,ALGERIA,35.6239013672,-0.6211829781529999
ABV,ABUJA,NIGERIA,9.006790161132812,7.263169765472412
LOS,LAGOS,NIGERIA,6.5773701667785645,3.321160078048706
CZL,CONSTANTINE,ALGERIA,36.2760009765625,6.620389938354492
PHC,PORT HARCOURT,NIGERIA,5.0154900550842285,6.94959020614624
AAE,ANNABA,ALGERIA,36.822201,7.8091740000000005
GRJ,GEORGE,SOUTH AFRICA,-34.0056,22.378902
PLZ,PORT ELIZABETH,SOUTH AFRICA,-33.984901428200004,25.61730003360001
NBO,NAIROBI,KENYA,-1.31923997402,36.9277992249
BZV,BRAZZAVILLE,CONGO,-4.251699924468993,15.253000259399414
ADD,ADDIS ABABA,ETHIOPIA,8.97789001465,38.7993011475
SEZ,MAHE ISLAND,SEYCHELLES ISLANDS,-4.674339771270752,55.52180099487305
MBA,MOMBASA,KENYA,-4.034830093383788,39.594200134277344
MQX,MAKALE,ETHIOPIA,13.467399597167967,39.53350067138672
PNR,POINTE NOIRE,CONGO,-4.816030025482178,11.88659954071045
PRI,PRASLIN ISLAND,SEYCHELLES ISLANDS,-4.3192901611328125,55.69139862060547
RUN,ST DENIS DE LA REUNION,REUNION ISLAND,-20.88710021972656,55.51029968261719
CAI,CAIRO,EGYPT,30.12190055847168,31.40559959411621
HRG,HURGHADA,EGYPT,27.178300857543945,33.799400329589844
MRU,MAURITIUS,MAURITIUS,-20.430200576782227,57.68360137939453
NSI,YAOUNDE,CAMEROON,3.722559928894043,11.553299903869627
SSH,SHARM EL SHEIKH,EGYPT,27.977300643899998,34.3950004578
DLA,DOUALA,CAMEROON,4.0060801506,9.71947956085
HME,HASSI MESSAOUD,ALGERIA,31.673000335700003,6.140439987180001
MWZ,MWANZA,TANZANIA,-2.4444899559021,32.932701110839844
DAR,DAR ES SALAAM,TANZANIA,-6.87811,39.202599
LAD,LUANDA,ANGOLA,-8.85836982727,13.231200218199994
ELS,EAST LONDON,SOUTH AFRICA,-33.0355987549,27.825899124099998
DIR,DIRE DAWA,ETHIOPIA,9.624699592590332,41.85419845581055
CAB,CABINDA,ANGOLA,-5.59699010848999,12.188400268554688
RRG,RODRIGUES IS,MAURITIUS,-19.7577,63.361000000000004
LXR,LUXOR,EGYPT,25.671,32.7066
ACC,ACCRA,GHANA,5.605189800262451,-0.16678600013256073
KMS,KUMASI,GHANA,6.714560031890869,-1.5908199548721311
BFN,BLOEMFONTEIN,SOUTH AFRICA,-29.092699050900002,26.302400589
ASW,ASWAN,EGYPT,23.964399337800003,32.8199996948
BJR,BAHAR DAR,ETHIOPIA,11.608099937438965,37.32160186767578
TIP,TRIPOLI,LIBYA,32.6635017395,13.159000396700002
TUN,TUNIS,TUNISIA,36.85100173950195,10.22719955444336
MQP,NELSPRUIT,SOUTH AFRICA,-25.383199691799998,31.105600357100002
MJI,MITIGA,LIBYA,32.894100189208984,13.276000022888185
PZB,PIETERMARITZBURG,SOUTH AFRICA,-29.6490001678,30.3987007141
JRO,KILIMANJARO,TANZANIA,-3.42940998077,37.0745010376
SSG,MALABO,EQUATORIAL GUINEA,3.7552700042724614,8.708720207214355
BSG,BATA,EQUATORIAL GUINEA,1.9054700136184688,9.80568027496338
HRE,HARARE,ZIMBABWE,-17.931800842285156,31.09280014038086
BUQ,BULAWAYO,ZIMBABWE,-20.01740074157715,28.617900848388672
KRT,KHARTOUM,SUDAN,15.589500427246096,32.55319976806641
GDQ,GONDAR,ETHIOPIA,12.51990032196045,37.433998107910156
ZNZ,ZANZIBAR,TANZANIA,-6.22202,39.224899
DJE,DJERBA,TUNISIA,33.875,10.775500297546387
DZA,DZAOUDZI,MAYOTTE,-12.804699897766113,45.28110122680664
KIS,KISUMU,KENYA,-0.0861390009522438,34.72890090942383
LUN,LUSAKA,ZAMBIA,-15.330800056500001,28.4526004791
TML,TAMALE,GHANA,9.55718994140625,-0.8632140159606934
CMN,CASABLANCA,MOROCCO,33.36750030517578,-7.589970111846924
EBB,ENTEBBE,UGANDA,0.04238599911332129,32.44350051879883
BSK,BISKRA,ALGERIA,34.793300628699996,5.73823022842
KIM,KIMBERLEY,SOUTH AFRICA,-28.802799224900003,24.765199661300002
POG,PORT GENTIL,GABON,-0.7117390036582947,8.754380226135254
LBV,LIBREVILLE,GABON,0.45860001444799997,9.4122800827
BNI,BENIN CITY,NIGERIA,6.3169798851013175,5.599500179290772
EUN,LAAYOUNE,MOROCCO,27.151699,-13.2192
FBM,LUBUMBASHI,CONGO DEM. REP.,-11.5913000107,27.5308990479
FIH,KINSHASA,CONGO DEM. REP.,-4.38574981689,15.4446001053
EDL,ELDORET,KENYA,0.4044579863548279,35.23889923095703
SDD,LUBANGO,ANGOLA,-14.924699783325195,13.574999809265135
GJL,JIJEL,ALGERIA,36.7951011658,5.873610019680001
CBT,CATUMBELA,ANGOLA,-12.4792,13.4869
LAQ,BEIDA,LIBYA,32.78870010375977,21.96430015563965
BEW,BEIRA,MOZAMBIQUE,-19.79640007019043,34.90760040283203
ELU,EL OUED,ALGERIA,33.5113983154,6.776790142059999
